text,label,source
"Under conservative leadership, Congress has reduced the federal deficit by 60 percent nearly $800 billion.",fake,LIAR_LOCAL
"NATO is opening up a major terror division. ... Im sure Im not going to get credit for it, but that was largely because of what I was saying and my criticism of NATO.",fake,LIAR_LOCAL
"Over the past few months, we've learned that ""we just can't count on the media to debunk"" lies about health insurance reform.",fake,LIAR_LOCAL
"Says. Rep. Joe Barton, R-Texas, once said, Wind is a finite resource and harnessing it would slow the winds down, which would cause the temperature to go up.",fake,LIAR_LOCAL
Says Donald Trumps only economic agenda is imposing massive taxes on the American people with a 40 percent tax hike of a giant tariff.,partially_true,LIAR_LOCAL
Says Ronda Storms voted to fund the Taj Mahal courthouse.,real,LIAR_LOCAL
Says U.S. Rep. Paul Ryan promised to end health care for our seniors.,fake,LIAR_LOCAL
"Since President Obama took office, over 88,000 Ohio workers have lost their jobs.",partially_true,LIAR_LOCAL
"It is projected that 3.07 million people will use the train annually. Keep in mind that Amtraks Acela train in Washington D.C., Boston, Philadelphia, New York and Baltimore only had 3.2 million riders in 2010.",partially_true,LIAR_LOCAL
Says the Panhandle has had its highest-ever bed tax collections in 2011.,real,LIAR_LOCAL
"State school funding per pupil is down 16 percent compared to 2009, after adjusting for inflation.",real,LIAR_LOCAL
Says Romney said we should ask Pakistan for permission to take a shot at Osama bin Laden.,partially_true,LIAR_LOCAL
"A telephone company will no longer have to provide landline service to customers if there is an alternative provider, including wireless.",real,LIAR_LOCAL
Says Hillary Clinton called the Trans-Pacific Partnership the gold standard. You called it the gold standard of trade deals. You said its the finest deal youve ever seen.,real,LIAR_LOCAL
[A] 2009 USDA study found that 87 percent of chicken carcasses tested positive for generic E. coli ... just prior to packaging.,partially_true,LIAR_LOCAL
The average unemployed American has been out of work for almost 40 weeks.,real,LIAR_LOCAL
Says Bernie Sanders wants higher standards for toy guns than real guns.,partially_true,LIAR_LOCAL
Virginias banning of felons from voting is a Jim Crow-era law.,fake,LIAR_LOCAL
Delta has had the most animal deaths among U.S. carriers in the past five years,partially_true,LIAR_LOCAL
"Federal officials declared that grant funds could be used only for Milwaukees streetcar project, meaning it isnt possible to redirect the money to other modes of public transportation or to our public schools.",real,LIAR_LOCAL
"The Republicans didn't have a budget in '02, '04, '06.",partially_true,LIAR_LOCAL
"The Democrats' health care bills would end ""the denial of ... coverage to those who have a pre-existing condition,"" while the Republican bill would not.",real,LIAR_LOCAL
"Says bus riders subsidize the expensive, romanticized Leander-to-Austin train.",fake,LIAR_LOCAL
Says Mitt Romney has refused to say whether he would have vetoed or signed the Lilly Ledbetter Fair Pay Act.,real,LIAR_LOCAL
"One thousand people a day are moving to Texas, which means there will be 15 million more people over the next 25 years.",partially_true,LIAR_LOCAL
"It used to be the policy of the Republican Party to get rid of the Department of Education. We finally get in charge and a chance to do something, so we double the size of the Department of Education.",real,LIAR_LOCAL
Says up to a quarter of African Americans dont have government photo ID.,real,LIAR_LOCAL
"For the first time in 35 years, we have more businesses dying than we do starting.",real,LIAR_LOCAL
"President Barack Obama suggested on national TV that the Democratic health care bill will have government decide that a healthy, 100-year-old woman in need of a pacemaker should take a pain pill instead.",fake,LIAR_LOCAL
Says the United States is the Saudi Arabia of coal.,real,LIAR_LOCAL
"Mitt Romney wants ""to set a date for withdrawal"" from Iraq.",fake,LIAR_LOCAL
"House Speaker Dean Cannon says that freshmen lawmakers account for one-third of the 120-member House, and that two-thirds of the chamber have two years or less experience.",real,LIAR_LOCAL
Says Rick Perry doubled spending in a decade.,fake,LIAR_LOCAL
Says Ocean Spray is moving its Bordentown processing facility to Pennsylvania largely because of costs associated with the Regional Greenhouse Gas Initiative.,fake,LIAR_LOCAL
"The Senate-passed health care bill ""is identical to the Massachusetts health care plan -- the same thing.""",real,LIAR_LOCAL
Richard Nixon released tax returns when he was under audit.,real,LIAR_LOCAL
Says Rick Scott presided over cuts to the Bright Futures college scholarship program.,real,LIAR_LOCAL
The Legislature needs to spend $500 million to shore up the pension fund this year and the next 28 years to keep it afloat.,partially_true,LIAR_LOCAL
"If you care about the environment, weve got record funding.",fake,LIAR_LOCAL
44% of homeless people are employed.,partially_true,LIAR_LOCAL
State lawmakers are spending taxpayer money for parking that billionaire Arthur Blank could build while paying some state employees so little they are on food stamps.,partially_true,LIAR_LOCAL
The Agriculture Department estimates that roughly 42 percent of the corn crop will be used to make ethanol -- more than the amount of corn used to feed livestock and poultry in the United States.,partially_true,LIAR_LOCAL
Republican plan to extend Bush tax cuts would double deficit projections going forward for the next couple of decades.,real,LIAR_LOCAL
There are already more American jobs in the solar industry than in coal mining.,real,LIAR_LOCAL
Three in four low-income workers dont have any paid sick days available.,real,LIAR_LOCAL
"The Republican leadership in the House has refused to address the issues that matter the most to Rhode Island, such as passing a jobs bill.",fake,LIAR_LOCAL
Says Hillary Clinton sent a memo to all State Department staff that said you should not do State Department business on personal email.,real,LIAR_LOCAL
Says Patrick Murphy is trying to hide his drunken assault of a police officer.,fake,LIAR_LOCAL
"Under the compromise tax agreement, 99.7% of American families will not pay 1 nickel in an estate tax.",real,LIAR_LOCAL
"Today, we have more boots on the ground near the Southwest border than at any time in our history.",real,LIAR_LOCAL
"On Medicare for current retirees, hes cutting $716 billion from the program.",partially_true,LIAR_LOCAL
A judges order means theres a Constitution exemption zone if you live within 100 miles of the United States border.,fake,LIAR_LOCAL
"There are 3.6 million jobs sitting vacant, in part because there arent enough qualified applicants to fill them.",real,LIAR_LOCAL
"John Kasich says he won, despite 12 visits by a president, somewhere between $45 (million) and $50 million (spent against him,) 500 paid volunteers in here calling me every name in the book, former presidents, first ladies and God-knows-who-else.",partially_true,LIAR_LOCAL
About 95 percent of (Ohios) electricity comes from burning coal.,partially_true,LIAR_LOCAL
Says Peyton Manning struggles in cold weather games.,real,LIAR_LOCAL
Only 14 percent of Catholics agree with the Vaticans position that abortion should be illegal.,real,LIAR_LOCAL
"McCain ""said no to higher fuel-efficiency standards for cars.""",fake,LIAR_LOCAL
We expanded charter schools.,partially_true,LIAR_LOCAL
Says Romney and Ryan both backed proposals that would outlaw abortions even in cases of rape or incest.,partially_true,LIAR_LOCAL
"Says Donald Trump said of women, And you can tell them to go f--- themselves.",fake,LIAR_LOCAL
"Says Sen. John McCain told dreamers that hell support the Dream Act, then he voted against it.",partially_true,LIAR_LOCAL
"We balanced the budget with the 1997 Balanced Budget Act, and ultimately had four consecutive balanced budgets.",real,LIAR_LOCAL
"The book Little Red Riding Hood is something thats been banned in America, but not assault weapons.",fake,LIAR_LOCAL
Americans spend more than $160 billion and 6 billion hours per year complying with the tax code.,real,LIAR_LOCAL
"Says President Barack Obama came into office very concerned about wiretappings but then he became president of the United States, he got all the briefings (and) he decided the balance is probably pretty appropriately struck.",real,LIAR_LOCAL
Eighty percent of the antibiotics in this country are fed to livestock.,real,LIAR_LOCAL
The federal deficit would pay for 40 gallons of New Hampshire maple syrup for everyone in the United States.,partially_true,LIAR_LOCAL
About $4.89 billion in one-time money was used to balance the current state general revenue fund budget.,fake,LIAR_LOCAL
Says Washingtons reach extends to even telling us what kind of light bulb we can use.,fake,LIAR_LOCAL
Republican ideas on health care dont give people an option to even enroll in something that they can afford.,real,LIAR_LOCAL
"Says the California flag was supposed to be apear, not a bear.",fake,LIAR_LOCAL
"Says that after she declared her candidacy for Congress, the redistricting process was manipulated to allow incumbent politicians to guarantee their re-election.",fake,LIAR_LOCAL
Says our 12 month job increase was the sixth highest in the nation.,partially_true,LIAR_LOCAL
"Because of violence spreading from Mexico, youve got bullets hitting the city hall in El Paso. Youve got bombs exploding in El Paso.",partially_true,LIAR_LOCAL
About half the people who would qualify for Medicaid expansion in Florida can buy a health care plan for $30 a month on the federal health care exchange.,partially_true,LIAR_LOCAL
"13 percent of Americans, the lowest ever, are without health care.",partially_true,LIAR_LOCAL
"The Clinton Foundation gives less than 10(percent in direct aid). In 2013, they raised 140 million bucks, gave $9 million to people in direct aid.",fake,LIAR_LOCAL
"Says of the 2,000 Portland households in the year-long (composting) pilot, 87 percent of participants reported being satisfied with the overall system.",partially_true,LIAR_LOCAL
Ill be the only economist in the (U.S.) House.,real,LIAR_LOCAL
"Before 2005, the percentage of Texas high school students meeting the college readiness standards of the Texas Higher Education Coordinating Board stood at 28% in English and 42% in math. Those figures stood at 65% and 66% in 2013.",real,LIAR_LOCAL
"The Democratic Congress has already taken significant steps to create jobs and jump-start the economy, resulting in the lowest tax rates in over 50 years and the creation of over 500,000 new jobs so far this year.",partially_true,LIAR_LOCAL
Says Republican Sen. John McCain won more votes for president in Cuyahoga County in the 2008 general election than he did in seven states.,real,LIAR_LOCAL
"The border security plan of Sens. McCain and Kyl called for 3,000 additional troops to keep us safe. President Obama says hell send 524.",partially_true,LIAR_LOCAL
"Because of (the 1994 crime bill), we had a 25-year low in crime, a 33-year low in the murder rate, and listen to this, because of that and the background check law, a 46-year low in the deaths of people of gun violence.",fake,LIAR_LOCAL
"A little-known unit of the Department of Justice, the Community Relations Service, was deployed to Sanford, FL, following the Trayvon Martin shooting to help organize and manage rallies and protests against George Zimmerman.",fake,LIAR_LOCAL
"There have been seven investigations (of Benghazi) led mostly by Republicans in the Congress that concluded nobody did anything wrong, but there were changes we could make.",real,LIAR_LOCAL
